Generation,Timeline,Parental,PARENT_ID,ID,Treatment,tags,number
S2,35,W,1048,2291,W,2291 _ W,1
S2,35,D,1049,2294,W,2294 _ W,1
S2,35,W,1049,2297,W,2297 _ W,1
S2,35,D,1050,2300,W,2300 _ W,1
S2,35,W,1050,2303,W,2303 _ W,1
S2,35,D,1051,2306,W,2306 _ W,1
S2,35,W,1051,2309,W,2309 _ W,1
S2,35,D,1052,2312,W,2312 _ W,1
S2,35,W,1052,2315,W,2315 _ W,1
S2,35,D,1053,2318,W,2318 _ W,1
S2,35,W,1053,2321,W,2321 _ W,1
S2,37,D,1054,2324,W,2324 _ W,1
S2,37,W,1054,2327,W,2327 _ W,1
S2,37,D,1055,2330,W,2330 _ W,1
S2,37,W,1055,2333,W,2333 _ W,1
S2,37,D,1056,2336,W,2336 _ W,1
S2,37,W,1056,2339,W,2339 _ W,1
S2,37,D,1057,2342,W,2342 _ W,1
S2,37,W,1057,2345,W,2345 _ W,1
S2,37,D,1058,2348,W,2348 _ W,1
S2,37,W,1058,2351,W,2351 _ W,1
S2,37,D,1059,2354,W,2354 _ W,1
S2,37,W,1059,2357,W,2357 _ W,1
S2,38,D,1060,2360,W,2360 _ W,1
S2,38,W,1060,2363,W,2363 _ W,1
S2,38,D,1061,2366,W,2366 _ W,1
S2,38,W,1061,2369,W,2369 _ W,1
S2,38,D,1062,2372,W,2372 _ W,1
S2,38,W,1062,2375,W,2375 _ W,1
S2,38,D,1063,2378,W,2378 _ W,1
S2,38,W,1063,2381,W,2381 _ W,1
S2,38,D,1064,2384,W,2384 _ W,1
S2,38,W,1064,2387,W,2387 _ W,1
S2,38,D,1065,2390,W,2390 _ W,1
S2,38,W,1065,2393,W,2393 _ W,1
S2,39A,D,1066,2396,W,2396 _ W,1
S2,39A,W,1066,2399,W,2399 _ W,1
S2,39A,D,1067,2402,W,2402 _ W,1
S2,39A,W,1067,2405,W,2405 _ W,1
S2,39A,D,1068,2408,W,2408 _ W,1
S2,39A,W,1068,2411,W,2411 _ W,1
S2,39A,D,1069,2414,W,2414 _ W,1
S2,39A,W,1069,2417,W,2417 _ W,1
S2,39A,D,1070,2420,W,2420 _ W,1
S2,39A,W,1070,2423,W,2423 _ W,1
S2,39A,D,1071,2426,W,2426 _ W,1
S2,39A,W,1071,2429,W,2429 _ W,1
S2,39B,D,1072,2432,W,2432 _ W,1
S2,39B,W,1072,2435,W,2435 _ W,1
S2,39B,D,1073,2438,W,2438 _ W,1
S2,39B,W,1073,2441,W,2441 _ W,1
S2,39B,D,1074,2444,W,2444 _ W,1
S2,39B,W,1074,2447,W,2447 _ W,1
S2,39B,D,1075,2450,W,2450 _ W,1
S2,39B,W,1075,2453,W,2453 _ W,1
S2,39B,D,1076,2456,W,2456 _ W,1
S2,39B,W,1076,2459,W,2459 _ W,1
S2,39B,D,1077,2462,W,2462 _ W,1
S2,39B,W,1077,2465,W,2465 _ W,1
S2,40,D,1078,2468,W,2468 _ W,1
S2,40,W,1078,2471,W,2471 _ W,1
S2,40,D,1079,2474,W,2474 _ W,1
S2,40,W,1079,2477,W,2477 _ W,1
S2,40,D,1080,2480,W,2480 _ W,1
S2,40,W,1080,2483,W,2483 _ W,1
S2,40,D,1081,2486,W,2486 _ W,1
S2,40,W,1081,2489,W,2489 _ W,1
S2,40,D,1082,2492,W,2492 _ W,1
S2,40,W,1082,2495,W,2495 _ W,1
S2,40,D,1083,2498,W,2498 _ W,1
S2,40,W,1083,2501,W,2501 _ W,1
S2,41,D,1084,2504,W,2504 _ W,1
S2,41,W,1084,2507,W,2507 _ W,1
S2,41,D,1085,2510,W,2510 _ W,1
S2,41,W,1085,2513,W,2513 _ W,1
S2,41,D,1086,2516,W,2516 _ W,1
S2,41,W,1086,2519,W,2519 _ W,1
S2,41,D,1087,2522,W,2522 _ W,1
S2,41,W,1087,2525,W,2525 _ W,1
S2,41,D,1088,2528,W,2528 _ W,1
S2,41,W,1088,2531,W,2531 _ W,1
S2,41,D,1089,2534,W,2534 _ W,1
S2,41,W,1089,2537,W,2537 _ W,1
S2,49,D,1090,2540,W,2540 _ W,1
S2,49,W,1090,2543,W,2543 _ W,1
S2,49,D,1091,2546,W,2546 _ W,1
S2,49,W,1091,2549,W,2549 _ W,1
S2,49,D,1092,2552,W,2552 _ W,1
S2,49,W,1092,2555,W,2555 _ W,1
S2,49,D,1093,2558,W,2558 _ W,1
S2,49,W,1093,2561,W,2561 _ W,1
S2,49,D,1094,2564,W,2564 _ W,1
S2,49,W,1094,2567,W,2567 _ W,1
S2,49,D,1095,2570,W,2570 _ W,1
S2,49,W,1095,2573,W,2573 _ W,1
S2,51,D,1096,2576,W,2576 _ W,1
S2,51,W,1096,2579,W,2579 _ W,1
S2,51,D,1097,2582,W,2582 _ W,1
S2,51,W,1097,2585,W,2585 _ W,1
S2,51,D,1098,2588,W,2588 _ W,1
S2,51,W,1098,2591,W,2591 _ W,1
S2,51,D,1099,2594,W,2594 _ W,1
S2,51,W,1099,2597,W,2597 _ W,1
S2,51,D,1100,2600,W,2600 _ W,1
S2,51,W,1100,2603,W,2603 _ W,1
S2,51,D,1101,2606,W,2606 _ W,1
S2,51,W,1101,2609,W,2609 _ W,1
S2,52,D,1102,2612,W,2612 _ W,1
S2,52,W,1102,2615,W,2615 _ W,1
S2,52,D,1103,2618,W,2618 _ W,1
S2,52,W,1103,2621,W,2621 _ W,1
S2,52,D,1104,2624,W,2624 _ W,1
S2,52,W,1104,2627,W,2627 _ W,1
S2,52,D,1105,2630,W,2630 _ W,1
S2,52,W,1105,2633,W,2633 _ W,1
S2,52,D,1106,2636,W,2636 _ W,1
S2,52,W,1106,2639,W,2639 _ W,1
S2,52,D,1107,2642,W,2642 _ W,1
S2,52,W,1107,2645,W,2645 _ W,1
S2,54,D,1108,2648,W,2648 _ W,1
S2,54,W,1108,2651,W,2651 _ W,1
S2,54,D,1109,2654,W,2654 _ W,1
S2,54,W,1109,2657,W,2657 _ W,1
S2,54,D,1110,2660,W,2660 _ W,1
S2,54,W,1110,2663,W,2663 _ W,1
S2,54,D,1111,2666,W,2666 _ W,1
S2,54,W,1111,2669,W,2669 _ W,1
S2,54,D,1112,2672,W,2672 _ W,1
S2,54,W,1112,2675,W,2675 _ W,1
S2,54,D,1113,2678,W,2678 _ W,1
S2,54,W,1113,2681,W,2681 _ W,1
S2,57,D,1114,2684,W,2684 _ W,1
S2,57,W,1114,2687,W,2687 _ W,1
S2,57,D,1115,2690,W,2690 _ W,1
S2,57,W,1115,2693,W,2693 _ W,1
S2,57,D,1116,2696,W,2696 _ W,1
S2,57,W,1116,2699,W,2699 _ W,1
S2,57,D,1117,2702,W,2702 _ W,1
S2,57,W,1117,2705,W,2705 _ W,1
S2,57,D,1118,2708,W,2708 _ W,1
S2,57,W,1118,2711,W,2711 _ W,1
S2,57,D,1119,2714,W,2714 _ W,1
S2,57,W,1119,2717,W,2717 _ W,1
S2,148,D,1120,2720,W,2720 _ W,1
S2,148,W,1120,2723,W,2723 _ W,1
S2,148,D,1121,2726,W,2726 _ W,1
S2,148,W,1121,2729,W,2729 _ W,1
S2,148,D,1122,2732,W,2732 _ W,1
S2,148,W,1122,2735,W,2735 _ W,1
S2,148,D,1123,2738,W,2738 _ W,1
S2,148,W,1123,2741,W,2741 _ W,1
S2,148,D,1124,2744,W,2744 _ W,1
S2,148,W,1124,2747,W,2747 _ W,1
S2,148,D,1125,2750,W,2750 _ W,1
S2,148,W,1125,2753,W,2753 _ W,1
S2,152,D,1126,2756,W,2756 _ W,1
S2,152,W,1126,2759,W,2759 _ W,1
S2,152,D,1127,2762,W,2762 _ W,1
S2,152,W,1127,2765,W,2765 _ W,1
S2,152,D,1128,2768,W,2768 _ W,1
S2,152,W,1128,2771,W,2771 _ W,1
S2,152,D,1129,2774,W,2774 _ W,1
S2,152,W,1129,2777,W,2777 _ W,1
S2,152,D,1130,2780,W,2780 _ W,1
S2,152,W,1130,2783,W,2783 _ W,1
S2,152,D,1131,2786,W,2786 _ W,1
S2,152,W,1131,2789,W,2789 _ W,1
S2,153,D,1132,2792,W,2792 _ W,1
S2,153,W,1132,2795,W,2795 _ W,1
S2,153,D,1133,2798,W,2798 _ W,1
S2,153,W,1133,2801,W,2801 _ W,1
S2,153,D,1134,2804,W,2804 _ W,1
S2,153,W,1134,2807,W,2807 _ W,1
S2,153,D,1135,2810,W,2810 _ W,1
S2,153,W,1135,2813,W,2813 _ W,1
S2,153,D,1136,2816,W,2816 _ W,1
S2,153,W,1136,2819,W,2819 _ W,1
S2,153,D,1137,2822,W,2822 _ W,1
S2,153,W,1137,2825,W,2825 _ W,1
S2,154,D,1138,2828,W,2828 _ W,1
S2,154,W,1138,2831,W,2831 _ W,1
S2,154,D,1139,2834,W,2834 _ W,1
S2,154,W,1139,2837,W,2837 _ W,1
S2,154,D,1140,2840,W,2840 _ W,1
S2,154,W,1140,2843,W,2843 _ W,1
S2,154,D,1141,2846,W,2846 _ W,1
S2,154,W,1141,2849,W,2849 _ W,1
S2,154,D,1142,2852,W,2852 _ W,1
S2,154,W,1142,2855,W,2855 _ W,1
S2,154,D,1143,2858,W,2858 _ W,1
S2,154,W,1143,2861,W,2861 _ W,1
S2,155,D,1144,2864,W,2864 _ W,1
S2,155,W,1144,2867,W,2867 _ W,1
S2,155,D,1145,2870,W,2870 _ W,1
S2,155,W,1145,2873,W,2873 _ W,1
S2,155,D,1146,2876,W,2876 _ W,1
S2,155,W,1146,2879,W,2879 _ W,1
S2,155,D,1147,2882,W,2882 _ W,1
S2,155,W,1147,2885,W,2885 _ W,1
S2,155,D,1148,2888,W,2888 _ W,1
S2,155,W,1148,2891,W,2891 _ W,1
S2,155,D,1149,2894,W,2894 _ W,1
S2,155,W,1149,2897,W,2897 _ W,1
S2,164,D,1150,2900,W,2900 _ W,1
S2,164,W,1150,2903,W,2903 _ W,1
S2,164,D,1151,2906,W,2906 _ W,1
S2,164,W,1151,2909,W,2909 _ W,1
S2,164,D,1152,2912,W,2912 _ W,1
S2,164,W,1152,2915,W,2915 _ W,1
S2,164,D,1153,2918,W,2918 _ W,1
S2,164,W,1153,2921,W,2921 _ W,1
S2,164,D,1154,2924,W,2924 _ W,1
S2,164,W,1154,2927,W,2927 _ W,1
S2,164,D,1155,2930,W,2930 _ W,1
S2,164,W,1155,2933,W,2933 _ W,1
S2,166,D,1156,2936,W,2936 _ W,1
S2,166,W,1156,2939,W,2939 _ W,1
S2,166,D,1157,2942,W,2942 _ W,1
S2,166,W,1157,2945,W,2945 _ W,1
S2,166,D,1158,2948,W,2948 _ W,1
S2,166,W,1158,2951,W,2951 _ W,1
S2,166,D,1159,2954,W,2954 _ W,1
S2,166,W,1159,2957,W,2957 _ W,1
S2,166,D,1160,2960,W,2960 _ W,1
S2,166,W,1160,2963,W,2963 _ W,1
S2,166,D,1161,2966,W,2966 _ W,1
S2,166,W,1161,2969,W,2969 _ W,1
S2,167,D,1162,2972,W,2972 _ W,1
S2,167,W,1162,2975,W,2975 _ W,1
S2,167,D,1163,2978,W,2978 _ W,1
S2,167,W,1163,2981,W,2981 _ W,1
S2,167,D,1164,2984,W,2984 _ W,1
S2,167,W,1164,2987,W,2987 _ W,1
S2,167,D,1165,2990,W,2990 _ W,1
S2,167,W,1165,2993,W,2993 _ W,1
S2,167,D,1166,2996,W,2996 _ W,1
S2,167,W,1166,2999,W,2999 _ W,1
S2,167,D,1167,3002,W,3002 _ W,1
S2,167,W,1167,3005,W,3005 _ W,1
S2,170,D,1168,3008,W,3008 _ W,1
S2,170,W,1168,3011,W,3011 _ W,1
S2,170,D,1169,3014,W,3014 _ W,1
S2,170,W,1169,3017,W,3017 _ W,1
S2,170,D,1170,3020,W,3020 _ W,1
S2,170,W,1170,3023,W,3023 _ W,1
S2,170,D,1171,3026,W,3026 _ W,1
S2,170,W,1171,3029,W,3029 _ W,1
S2,170,D,1172,3032,W,3032 _ W,1
S2,170,W,1172,3035,W,3035 _ W,1
S2,170,D,1173,3038,W,3038 _ W,1
S2,170,W,1173,3041,W,3041 _ W,1
S2,172,D,1174,3044,W,3044 _ W,1
S2,172,W,1174,3047,W,3047 _ W,1
S2,172,D,1175,3050,W,3050 _ W,1
S2,172,W,1175,3053,W,3053 _ W,1
S2,172,D,1176,3056,W,3056 _ W,1
S2,172,W,1176,3059,W,3059 _ W,1
S2,172,D,1177,3062,W,3062 _ W,1
S2,172,W,1177,3065,W,3065 _ W,1
S2,172,D,1178,3068,W,3068 _ W,1
S2,172,W,1178,3071,W,3071 _ W,1
S2,172,D,1179,3074,W,3074 _ W,1
S2,172,W,1179,3077,W,3077 _ W,1
S2,342,D,1180,3080,W,3080 _ W,1
S2,342,W,1180,3083,W,3083 _ W,1
S2,342,D,1181,3086,W,3086 _ W,1
S2,342,W,1181,3089,W,3089 _ W,1
S2,342,D,1182,3092,W,3092 _ W,1
S2,342,W,1182,3095,W,3095 _ W,1
S2,342,D,1183,3098,W,3098 _ W,1
S2,342,W,1183,3101,W,3101 _ W,1
S2,342,D,1184,3104,W,3104 _ W,1
S2,342,W,1184,3107,W,3107 _ W,1
S2,342,D,1185,3110,W,3110 _ W,1
S2,342,W,1185,3113,W,3113 _ W,1
S2,343,D,1186,3116,W,3116 _ W,1
S2,343,W,1186,3119,W,3119 _ W,1
S2,343,D,1187,3122,W,3122 _ W,1
S2,343,W,1187,3125,W,3125 _ W,1
S2,343,D,1188,3128,W,3128 _ W,1
S2,343,W,1188,3131,W,3131 _ W,1
S2,343,D,1189,3134,W,3134 _ W,1
S2,343,W,1189,3137,W,3137 _ W,1
S2,343,D,1190,3140,W,3140 _ W,1
S2,343,W,1190,3143,W,3143 _ W,1
S2,343,D,1191,3146,W,3146 _ W,1
S2,343,W,1191,3149,W,3149 _ W,1
S2,344,D,1192,3152,W,3152 _ W,1
S2,344,W,1192,3155,W,3155 _ W,1
S2,344,D,1193,3158,W,3158 _ W,1
S2,344,W,1193,3161,W,3161 _ W,1
S2,344,D,1194,3164,W,3164 _ W,1
S2,344,W,1194,3167,W,3167 _ W,1
S2,344,D,1195,3170,W,3170 _ W,1
S2,344,W,1195,3173,W,3173 _ W,1
S2,344,D,1196,3176,W,3176 _ W,1
S2,344,W,1196,3179,W,3179 _ W,1
S2,344,D,1197,3182,W,3182 _ W,1
S2,344,W,1197,3185,W,3185 _ W,1
S2,345,D,1198,3188,W,3188 _ W,1
S2,345,W,1198,3191,W,3191 _ W,1
S2,345,D,1199,3194,W,3194 _ W,1
S2,345,W,1199,3197,W,3197 _ W,1
S2,345,D,1200,3200,W,3200 _ W,1
S2,345,W,1200,3203,W,3203 _ W,1
S2,345,D,1201,3206,W,3206 _ W,1
S2,345,W,1201,3209,W,3209 _ W,1
S2,345,D,1202,3212,W,3212 _ W,1
S2,345,W,1202,3215,W,3215 _ W,1
S2,345,D,1203,3218,W,3218 _ W,1
S2,345,W,1203,3221,W,3221 _ W,1
S2,349,D,1204,3224,W,3224 _ W,1
S2,349,W,1204,3227,W,3227 _ W,1
S2,349,D,1205,3230,W,3230 _ W,1
S2,349,W,1205,3233,W,3233 _ W,1
S2,349,D,1206,3236,W,3236 _ W,1
S2,349,W,1206,3239,W,3239 _ W,1
S2,349,D,1207,3242,W,3242 _ W,1
S2,349,W,1207,3245,W,3245 _ W,1
S2,349,D,1208,3248,W,3248 _ W,1
S2,349,W,1208,3251,W,3251 _ W,1
S2,349,D,1209,3254,W,3254 _ W,1
S2,349,W,1209,3257,W,3257 _ W,1
S2,371,D,1210,3260,W,3260 _ W,1
S2,371,W,1210,3263,W,3263 _ W,1
S2,371,D,1211,3266,W,3266 _ W,1
S2,371,W,1211,3269,W,3269 _ W,1
S2,371,D,1212,3272,W,3272 _ W,1
S2,371,W,1212,3275,W,3275 _ W,1
S2,371,D,1213,3278,W,3278 _ W,1
S2,371,W,1213,3281,W,3281 _ W,1
S2,371,D,1214,3284,W,3284 _ W,1
S2,371,W,1214,3287,W,3287 _ W,1
S2,371,D,1215,3290,W,3290 _ W,1
S2,371,W,1215,3293,W,3293 _ W,1
S2,372,D,1216,3296,W,3296 _ W,1
S2,372,W,1216,3299,W,3299 _ W,1
S2,372,D,1217,3302,W,3302 _ W,1
S2,372,W,1217,3305,W,3305 _ W,1
S2,372,D,1218,3308,W,3308 _ W,1
S2,372,W,1218,3311,W,3311 _ W,1
S2,372,D,1219,3314,W,3314 _ W,1
S2,372,W,1219,3317,W,3317 _ W,1
S2,372,D,1220,3320,W,3320 _ W,1
S2,372,W,1220,3323,W,3323 _ W,1
S2,372,D,1221,3326,W,3326 _ W,1
S2,372,W,1221,3329,W,3329 _ W,1
S2,373,D,1222,3332,W,3332 _ W,1
S2,373,W,1222,3335,W,3335 _ W,1
S2,373,D,1223,3338,W,3338 _ W,1
S2,373,W,1223,3341,W,3341 _ W,1
S2,373,D,1224,3344,W,3344 _ W,1
S2,373,W,1224,3347,W,3347 _ W,1
S2,373,D,1225,3350,W,3350 _ W,1
S2,373,W,1225,3353,W,3353 _ W,1
S2,373,D,1226,3356,W,3356 _ W,1
S2,373,W,1226,3359,W,3359 _ W,1
S2,373,D,1227,3362,W,3362 _ W,1
S2,373,W,1227,3365,W,3365 _ W,1
S2,374,D,1228,3368,W,3368 _ W,1
S2,374,W,1228,3371,W,3371 _ W,1
S2,374,D,1229,3374,W,3374 _ W,1
S2,374,W,1229,3377,W,3377 _ W,1
S2,374,D,1230,3380,W,3380 _ W,1
S2,374,W,1230,3383,W,3383 _ W,1
S2,374,D,1231,3386,W,3386 _ W,1
S2,374,W,1231,3389,W,3389 _ W,1
S2,374,D,1232,3392,W,3392 _ W,1
S2,374,W,1232,3395,W,3395 _ W,1
S2,374,D,1233,3398,W,3398 _ W,1
S2,374,W,1233,3401,W,3401 _ W,1
S2,375,D,1234,3404,W,3404 _ W,1
S2,375,W,1234,3407,W,3407 _ W,1
S2,375,D,1235,3410,W,3410 _ W,1
S2,375,W,1235,3413,W,3413 _ W,1
S2,375,D,1236,3416,W,3416 _ W,1
S2,375,W,1236,3419,W,3419 _ W,1
S2,375,D,1237,3422,W,3422 _ W,1
S2,375,W,1237,3425,W,3425 _ W,1
S2,375,D,1238,3428,W,3428 _ W,1
S2,375,W,1238,3431,W,3431 _ W,1
S2,375,D,1239,3434,W,3434 _ W,1
S2,375,W,1239,3437,W,3437 _ W,1
S2,1,D,1000,2000,D,2000 _ D,1
S2,1,W,1000,2003,D,2003 _ D,1
S2,1,D,1001,2006,D,2006 _ D,1
S2,1,W,1001,2009,D,2009 _ D,1
S2,1,D,1002,2012,D,2012 _ D,1
S2,1,W,1002,2015,D,2015 _ D,1
S2,1,D,1003,2018,D,2018 _ D,1
S2,1,W,1003,2021,D,2021 _ D,1
S2,1,D,1004,2024,D,2024 _ D,1
S2,1,W,1004,2027,D,2027 _ D,1
S2,1,D,1005,2030,D,2030 _ D,1
S2,1,W,1005,2033,D,2033 _ D,1
S2,3,D,1006,2036,D,2036 _ D,1
S2,3,W,1006,2039,D,2039 _ D,1
S2,3,D,1007,2042,D,2042 _ D,1
S2,3,W,1007,2045,D,2045 _ D,1
S2,3,D,1008,2048,D,2048 _ D,1
S2,3,W,1008,2051,D,2051 _ D,1
S2,3,D,1009,2054,D,2054 _ D,1
S2,3,W,1009,2057,D,2057 _ D,1
S2,3,D,1010,2060,D,2060 _ D,1
S2,3,W,1010,2063,D,2063 _ D,1
S2,3,D,1011,2066,D,2066 _ D,1
S2,3,W,1011,2069,D,2069 _ D,1
S2,4,D,1012,2072,D,2072 _ D,1
S2,4,W,1012,2075,D,2075 _ D,1
S2,4,D,1013,2078,D,2078 _ D,1
S2,4,W,1013,2081,D,2081 _ D,1
S2,4,D,1014,2084,D,2084 _ D,1
S2,4,W,1014,2087,D,2087 _ D,1
S2,4,D,1015,2090,D,2090 _ D,1
S2,4,W,1015,2093,D,2093 _ D,1
S2,4,D,1016,2096,D,2096 _ D,1
S2,4,W,1016,2099,D,2099 _ D,1
S2,4,D,1017,2102,D,2102 _ D,1
S2,4,W,1017,2105,D,2105 _ D,1
S2,6,D,1018,2108,D,2108 _ D,1
S2,6,W,1018,2111,D,2111 _ D,1
S2,6,D,1019,2114,D,2114 _ D,1
S2,6,W,1019,2117,D,2117 _ D,1
S2,6,D,1020,2120,D,2120 _ D,1
S2,6,W,1020,2123,D,2123 _ D,1
S2,6,D,1021,2126,D,2126 _ D,1
S2,6,W,1021,2129,D,2129 _ D,1
S2,6,D,1022,2132,D,2132 _ D,1
S2,6,W,1022,2135,D,2135 _ D,1
S2,6,D,1023,2138,D,2138 _ D,1
S2,6,W,1023,2141,D,2141 _ D,1
S2,7,D,1024,2144,D,2144 _ D,1
S2,7,W,1024,2147,D,2147 _ D,1
S2,7,D,1025,2150,D,2150 _ D,1
S2,7,W,1025,2153,D,2153 _ D,1
S2,7,D,1026,2156,D,2156 _ D,1
S2,7,W,1026,2159,D,2159 _ D,1
S2,7,D,1027,2162,D,2162 _ D,1
S2,7,W,1027,2165,D,2165 _ D,1
S2,7,D,1028,2168,D,2168 _ D,1
S2,7,W,1028,2171,D,2171 _ D,1
S2,7,D,1029,2174,D,2174 _ D,1
S2,7,W,1029,2177,D,2177 _ D,1
S2,28,D,1030,2180,D,2180 _ D,1
S2,28,W,1030,2183,D,2183 _ D,1
S2,28,D,1031,2186,D,2186 _ D,1
S2,28,W,1031,2189,D,2189 _ D,1
S2,28,D,1032,2192,D,2192 _ D,1
S2,28,W,1032,2195,D,2195 _ D,1
S2,28,D,1033,2198,D,2198 _ D,1
S2,28,W,1033,2201,D,2201 _ D,1
S2,28,D,1034,2204,D,2204 _ D,1
S2,28,W,1034,2207,D,2207 _ D,1
S2,28,D,1035,2210,D,2210 _ D,1
S2,28,W,1035,2213,D,2213 _ D,1
S2,29,D,1036,2216,D,2216 _ D,1
S2,29,W,1036,2219,D,2219 _ D,1
S2,29,D,1037,2222,D,2222 _ D,1
S2,29,W,1037,2225,D,2225 _ D,1
S2,29,D,1038,2228,D,2228 _ D,1
S2,29,W,1038,2231,D,2231 _ D,1
S2,29,D,1039,2234,D,2234 _ D,1
S2,29,W,1039,2237,D,2237 _ D,1
S2,29,D,1040,2240,D,2240 _ D,1
S2,29,W,1040,2243,D,2243 _ D,1
S2,29,D,1041,2246,D,2246 _ D,1
S2,29,W,1041,2249,D,2249 _ D,1
S2,32,D,1042,2252,D,2252 _ D,1
S2,32,W,1042,2255,D,2255 _ D,1
S2,32,D,1043,2258,D,2258 _ D,1
S2,32,W,1043,2261,D,2261 _ D,1
S2,32,D,1044,2264,D,2264 _ D,1
S2,32,W,1044,2267,D,2267 _ D,1
S2,32,D,1045,2270,D,2270 _ D,1
S2,32,W,1045,2273,D,2273 _ D,1
S2,32,D,1046,2276,D,2276 _ D,1
S2,32,W,1046,2279,D,2279 _ D,1
S2,32,D,1047,2282,D,2282 _ D,1
S2,32,W,1047,2285,D,2285 _ D,1
S2,35,D,1048,2288,D,2288 _ D,1
S2,35,W,1048,2291,D,2291 _ D,1
S2,35,D,1049,2294,D,2294 _ D,1
