Treatment,ID,Diameter,Height,Nodes,Flowers,Branches,Sec_flower,,,,,,,,,
Wet,3359,3.83,65.2,18,11,11,0,,,,,,,,,
Dry,3362,3.2,51.8,15,10,2,0,,,,,,,,,
Wet,3362,4.56,82,18,10,11,0,,,,,,,,,
Dry,3365,,,,,,,,,,,,,,,
Wet,3365,,,,,,,,,,,,,,,
Dry,3368,2.23,26,11,4,3,0,,,,,,,,,
Wet,3368,2.17,26,10,4,2,0,,,,,,,,,
Dry,3371,2.99,48,15,7,4,0,,,,,,,,,
Wet,3371,2.42,41.5,14,5,1,0,,,,,,,,,
Dry,3374,2.34,33.9,12,9,2,1,,,,,,,,,
Wet,3374,3.99,63.6,16,10,7,0,,,,,,,,,
Dry,3377,2.39,44,15,5,1,0,,,,,,,,,
Wet,3377,2.13,34.2,11,4,3,0,,,,,,,,,
Dry,3380,2.38,45.4,15,9,0,0,,,,,,,,,
Wet,3380,3.36,53.2,16,6,1,0,,,,,,,,,
Dry,3383,2.35,35.5,14,5,1,0,,,,,,,,,
Wet,3383,2.9,40,15,5,2,0,,,,,,,,,
Dry,3386,3.39,26,12,6,4,0,,,,,,,,,
Wet,3386,2.24,16.4,11,1,5,0,,,,,,,,,
Dry,3389,,,,,,,,,,,,,,,
Wet,3389,,,,,,,,,,,,,,,
Dry,3392,2.64,27,12,5,2,0,,,,,,,,,
Wet,3392,2.15,20,12,2,3,0,,,,,,,,,
Dry,3395,2.15,30.7,13,3,0,0,,,,,,,,,
Wet,3395,4.95,86.9,19,12,7,3,,,,,,,,,
Dry,3398,2.13,24,12,2,4,1,,,,,,,,,
Wet,3398,,,,,,,,,,,,,,,
Dry,3401,3.34,17.5,12,3,4,0,,,,,,,,,
Wet,3401,2.48,17.2,9,1,2,0,,,,,,,,,
Dry,3404,4.31,35.4,16,12,7,0,,,,,,,,,
Wet,3404,2,11.7,9,2,0,0,,,,,,,,,
Dry,3407,2.06,15,11,3,0,0,,,,,,,,,
Wet,3407,2.36,27.1,12,5,0,0,,,,,,,,,
Dry,3410,2.76,16,9,4,5,0,,,,,,,,,
Wet,3410,2.86,18.2,11,6,3,0,,,,,,,,,
Dry,3413,2.14,17.5,10,4,0,0,,,,,,,,,
Wet,3413,2.45,28.7,13,7,0,0,,,,,,,,,
Dry,3416,1.78,17,8,3,0,0,,,,,,,,,
Wet,3416,3.91,40.5,12,11,6,0,,,,,,,,,
Dry,3419,,,,,,,,,,,,,,,
Wet,3419,,,,,,,,,,,,,,,
Dry,3422,3.24,54.8,15,10,0,0,,,,,,,,,
Wet,3422,4.14,76.8,18,14,10,0,,,,,,,,,
Dry,3425,2.9,42.3,15,10,6,0,,,,,,,,,
Wet,3425,3.61,46.8,15,8,8,2,,,,,,,,,
Dry,3428,1.85,29.1,13,6,2,0,,,,,,,,,
Wet,3428,2.22,32,14,5,4,0,,,,,,,,,
Dry,3431,3.36,46.5,15,9,4,0,,,,,,,,,
Wet,3431,3.32,46.3,14,8,12,0,,,,,,,,,
Dry,3434,1.82,17.3,10,4,2,0,,,,,,,,,
Wet,3434,3.01,50.02,16,10,5,0,,,,,,,,,
Dry,3437,1.95,26.3,11,7,0,0,,,,,,,,,
Wet,3437,3.73,50.5,14,9,7,0,,,,,,,,,
