Treatment,ID,Diameter,Height,Nodes,Flowers,Branches,Sec_flower,,,,,,,,,
Dry,2564,3.79,33.1,14,10,11,4,,,,,,,,,
Wet,2564,6.1,60.5,17,13,8,13,,,,,,,,,
Dry,2567,2.91,31.4,14,12,8,7,,,,,,,,,
Wet,2567,2.99,59.3,16,10,10,4,,,,,,,,,
Dry,2570,2.93,30.3,15,7,0,0,,,,,,,,,
Wet,2570,5.53,67,18,12,12,5,,,,,,,,,
Dry,2573,4.21,35,15,10,15,8,,,,,,,,,
Wet,2573,4.94,61,17,12,11,2,,,,,,,,,
Dry,2576,3.31,37.2,18,7,13,4,,,,,,,,,
Wet,2576,3.57,54,18,11,6,0,,,,,,,,,
Dry,2579,3.07,15.3,12,5,8,1,,,,,,,,,
Wet,2579,3.59,41.3,17,8,10,6,,,,,,,,,
Dry,2582,2.17,27.7,15,7,10,3,,,,,,,,,
Wet,2582,4.56,51,17,10,12,14,,,,,,,,,
Dry,2585,2.82,20.5,14,6,8,0,,,,,,,,,
Wet,2585,3.58,44.7,16,10,9,0,,,,,,,,,
Dry,2588,2.56,15.8,4,13,7,0,,,,,,,,,
Wet,2588,3.83,39.5,18,12,10,8,,,,,,,,,
Dry,2591,2.13,22.1,14,4,3,0,,,,,,,,,
Wet,2591,3.04,37.8,16,6,2,0,,,,,,,,,
Dry,2594,2.74,14,7,3,0,0,,,,,,,,,
Wet,2594,3.87,58,16,9,6,4,,,,,,,,,
Dry,2597,3.82,42.8,18,10,6,0,,,,,,,,,
Wet,2597,2.39,52.7,17,10,7,0,,,,,,,,,
Dry,2600,3.33,23.5,13,6,5,1,,,,,,,,,
Wet,2600,4.27,58.6,18,11,12,5,,,,,,,,,
Dry,2603,3.57,43,17,7,8,0,,,,,,,,,
Wet,2603,2.97,41,13,5,1,0,,,,,,,,,
Dry,2606,3.91,23.5,15,6,10,4,,,,,,,,,
Wet,2606,5.11,49,17,11,15,19,,,,,,,,,
Dry,2609,3.97,36.6,16,7,10,5,,,,,,,,,
Wet,2609,5.21,52.2,16,11,10,14,,,,,,,,,
Dry,2612,2.64,22,13,6,0,0,,,,,,,,,
Wet,2612,2.54,33,15,6,0,0,,,,,,,,,
Dry,2615,2.31,26.2,15,5,4,0,,,,,,,,,
Wet,2615,3.86,50.02,18,12,8,0,,,,,,,,,
Dry,2618,2.9,33.4,13,8,4,0,,,,,,,,,
Wet,2618,3.2,23.7,18,4,4,9,,,,,,,,,
Dry,2621,26.3,27.3,15,8,0,0,,,,,,,,,
Wet,2621,4.1,61.2,19,16,6,1,,,,,,,,,
Dry,2624,2.8,19.3,12,5,4,0,,,,,,,,,
Wet,2624,3.57,57.2,17,9,4,0,,,,,,,,,
Dry,2627,3.22,30.5,16,9,1,0,,,,,,,,,
Wet,2627,3.58,58.6,18,11,6,0,,,,,,,,,
Dry,2630,3.74,31.4,13,4,2,0,,,,,,,,,
Wet,2630,4.42,61,18,10,4,0,,,,,,,,,
Dry,2633,2.26,19,12,5,0,0,,,,,,,,,
Wet,2633,2.82,36.2,16,8,0,0,,,,,,,,,
Dry,2636,3.8,33.8,16,11,13,12,,,,,,,,,
Wet,2636,4.43,61.6,17,11,5,1,,,,,,,,,
Dry,2639,1.93,15.4,10,3,0,0,,,,,,,,,
Wet,2639,3.3,50.1,16,10,5,0,,,,,,,,,
Dry,2642,4.04,26.4,15,7,6,2,,,,,,,,,
Wet,2642,3.71,46.6,17,7,1,0,,,,,,,,,
Dry,2645,2.73,25.1,13,6,1,0,,,,,,,,,
Wet,2645,,,,,,,,,,,,,,,
Dry,2648,,,,,,,,,,,,,,,
Wet,2648,5.66,74,18,10,6,0,,,,,,,,,
Dry,2651,,,,,,,,,,,,,,,
Wet,2651,,,,,,,,,,,,,,,
Dry,2654,,,,,,,,,,,,,,,
Wet,2654,3.36,33.4,14,5,0,0,,,,,,,,,
Dry,2657,,,,,,,,,,,,,,,
Wet,2657,,,,,,,,,,,,,,,
Dry,2660,3.31,41.7,16,8,0,0,,,,,,,,,
Wet,2660,4.67,67,19,10,0,0,,,,,,,,,
Dry,2663,4.16,49.5,20,12,0,0,,,,,,,,,
Wet,2663,4,47,16,8,0,0,,,,,,,,,
Dry,2666,3.28,34.7,16,5,0,0,,,,,,,,,
Wet,2666,4.67,80.08,20,14,2,0,,,,,,,,,
Dry,2669,3.87,40,15,5,3,0,,,,,,,,,
