Generation,Timeline (ignore),Parental(ignore),ID,Treatment,# of Seeds ,Weight_200_seeds (mg),Weight_total (mg),Weight_1seed,Num_seeds
S1,39A,D,1070,wet,,,,#DIV/0!,#DIV/0!
S1,39A,D,1070,dry,,,,#DIV/0!,#DIV/0!
S1,39A,D,1071,wet,,,,#DIV/0!,#DIV/0!
S1,39A,D,1071,dry,,,,#DIV/0!,#DIV/0!
S1,39B,W,1072,wet,200,3.303,37.586,0.016515,2275.870421
S1,39B,W,1072,dry,216,4.098,39.221,0.01897222222,2067.285505
S1,39B,W,1073,wet,212,3.755,51.066,0.01771226415,2883.087084
S1,39B,W,1073,dry,,,,#DIV/0!,#DIV/0!
S1,39B,W,1074,wet,,,,#DIV/0!,#DIV/0!
S1,39B,W,1074,dry,182,3.383,53.192,0.01858791209,2861.644694
S1,39B,D,1075,wet,216,4.137,56.428,0.01915277778,2946.204496
S1,39B,D,1075,dry,200,3.977,46.438,0.019885,2335.328137
S1,39B,D,1076,wet,200,3.592,38.739,0.01796,2156.959911
S1,39B,D,1076,dry,,,,#DIV/0!,#DIV/0!
S1,39B,D,1077,wet,,,,#DIV/0!,#DIV/0!
S1,39B,D,1077,dry,206,4.006,43.176,0.01944660194,2220.23365
S1,40,W,1078,wet,,,,#DIV/0!,#DIV/0!
S1,40,W,1078,dry,,,,#DIV/0!,#DIV/0!
S1,40,W,1079,wet,,,,#DIV/0!,#DIV/0!
S1,40,W,1079,dry,183,4.123,10.225,0.02253005464,453.8382246
S1,40,W,1080,wet,,,,#DIV/0!,#DIV/0!
S1,40,W,1080,dry,185,4.875,49.629,0.02635135135,1883.356923
S1,40,D,1081,wet,,,,#DIV/0!,#DIV/0!
S1,40,D,1081,dry,,,,#DIV/0!,#DIV/0!
S1,40,D,1082,wet,,,,#DIV/0!,#DIV/0!
S1,40,D,1082,dry,213,4.165,42.67,0.01955399061,2182.163265
S1,40,D,1083,wet,,,,#DIV/0!,#DIV/0!
S1,40,D,1083,dry,211,5.038,57.975,0.02387677725,2428.091505
S1,41,W,1084,wet,,,,#DIV/0!,#DIV/0!
S1,41,W,1084,dry,228,4.479,38.016,0.01964473684,1935.174816
S1,41,W,1085,wet,,,,#DIV/0!,#DIV/0!
S1,41,W,1085,dry,,,,#DIV/0!,#DIV/0!
S1,41,W,1086,wet,,,,#DIV/0!,#DIV/0!
S1,41,W,1086,dry,200,3.708,25.839,0.01854,1393.68932
S1,41,D,1087,wet,,,,#DIV/0!,#DIV/0!
S1,41,D,1087,dry,200,4.108,43.467,0.02054,2116.212269
S1,41,D,1088,wet,,,,#DIV/0!,#DIV/0!
S1,41,D,1088,dry,,,,#DIV/0!,#DIV/0!
S1,41,D,1089,wet,,,,#DIV/0!,#DIV/0!
S1,41,D,1089,dry,,,,#DIV/0!,#DIV/0!
S1,49,W,1090,wet,194,3.176,36.067,0.01637113402,2203.085013
S1,49,W,1090,dry,,,,#DIV/0!,#DIV/0!
S1,49,W,1091,wet,218,4.119,37.709,0.01889449541,1995.766448
S1,49,W,1091,dry,,,,#DIV/0!,#DIV/0!
S1,49,W,1092,wet,215,4.474,46.411,0.02080930233,2230.300626
S1,49,W,1092,dry,,,,#DIV/0!,#DIV/0!
S1,49,D,1093,wet,,,,#DIV/0!,#DIV/0!
