Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Wet,3207,,,,0,,0,,,,,,,,,
Wet,2355,,,,0,,0,,,,,,,,,
Wet,2682,,,,0,,0,,,,,,,,,
Wet,2352,,,,0,,0,,,,,,,,,
Wet,2076,,,,0,,0,,,,,,,,,
Wet,3363,,,,0,,0,,,,,,,,,
Wet,2730,,,,0,,0,,,,,,,,,
Wet,2229,,,,0,,0,,,,,,,,,
Wet,2847,,,,0,,0,,,,,,,,,
Wet,2067,,,,0,,0,,,,,,,,,
Wet,2238,,,,0,,0,,,,,,,,,
Wet,3165,,,,0,,0,,,,,,,,,
Wet,3156,,,,0,,0,,,,,,,,,
Wet,2655,,,,0,,0,,,,,,,,,
Wet,2646,,,,0,,0,,,,,,,,,
Wet,2334,,,,0,,0,,,,,,,,,
Wet,2154,,,,0,,0,,,,,,,,,
Wet,2394,,,,0,,0,,,,,,,,,
Wet,2196,,,,0,,0,,,,,,,,,
Wet,2397,,,,0,,0,,,,,,,,,
Wet,2652,,,,0,,0,,,,,,,,,
Wet,2232,,,,0,,0,,,,,,,,,
Wet,2214,,,,0,,0,,,,,,,,,
Wet,2634,,,,0,,0,,,,,,,,,
Wet,2607,,,,0,,0,,,,,,,,,
Wet,2190,,,,0,,0,,,,,,,,,
Wet,2250,,,,0,,0,,,,,,,,,
Wet,2841,,,,0,,0,,,,,,,,,
Wet,2199,,,,0,,0,,,,,,,,,
Wet,2484,,,,0,,0,,,,,,,,,
Wet,2193,,,,0,,0,,,,,,,,,
Wet,2265,,,,0,,0,,,,,,,,,
Wet,2976,,,,0,,0,,,,,,,,,
Wet,2073,,,,0,,0,,,,,,,,,
Wet,2637,,,,0,,0,,,,,,,,,
Wet,2694,,,,0,,0,,,,,,,,,
Wet,2184,,,,0,,0,,,,,,,,,
Wet,2169,,,,0,,0,,,,,,,,,
Wet,2640,,,,0,,0,,,,,,,,,
Wet,3300,,,,0,,0,,,,,,,,,
Wet,2349,,,,0,,0,,,,,,,,,
Wet,3162,,,,0,,0,,,,,,,,,
Wet,3336,,,,0,,0,,,,,,,,,
Wet,2712,,,,0,,0,,,,,,,,,
