Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Dry,3303,2.57,25.3,15,7,1,0,,,,,,,,,
Dry,3054,3.64,25.4,13,8,1,0,,,,,,,,,
Dry,3309,4.45,25.5,13,6,3,0,,,,,,,,,
Dry,2928,2.79,25.6,13,10,12,2,,,,,,,,,
Dry,3201,2.95,25.6,14,6,7,0,,,,,,,,,
Dry,2574,3.05,25.6,12,7,8,1,,,,,,,,,
Dry,2079,3.56,25.6,15,9,4,0,,,,,,,,,
Dry,2421,3.63,25.6,14,6,11,8,,,,,,,,,
Dry,2730,2.61,25.7,12,5,4,0,,,,,,,,,
Dry,3204,3.36,25.7,14,6,6,0,,,,,,,,,
Wet,2088,3.64,25.7,16,8,3,0,,,,,,,,,
Dry,2559,4.46,25.7,13,5,7,0,,,,,,,,,
Dry,2046,6.66,25.7,20,11,15,15,,,,,,,,,
Wet,2745,3.09,26,12,4,4,0,,,,,,,,,
Dry,3288,2.73,26.1,11,8,6,1,,,,,,,,,
Dry,3021,3.12,26.1,12,6,6,0,,,,,,,,,
Dry,2373,3.53,26.2,12,3,8,1,,,,,,,,,
Wet,3108,3.61,26.2,15,7,2,0,,,,,,,,,
Dry,2070,5.83,26.3,21,14,17,21,,,,,,,,,
Dry,3003,3.04,26.4,11,8,7,0,,,,,,,,,
Dry,3081,3.11,26.4,13,4,4,0,,,,,,,,,
Wet,3030,2.69,26.5,12,6,10,0,,,,,,,,,
Dry,2427,3.56,26.5,15,8,14,13,,,,,,,,,
Dry,2064,5.65,26.6,18,9,13,15,,,,,,,,,
Dry,2049,5.78,26.6,15,8,12,11,,,,,,,,,
Dry,2394,5.94,26.6,16,7,12,3,,,,,,,,,
Dry,2937,2.27,26.7,13,6,7,0,,,,,,,,,
Wet,2919,2.56,26.7,11,8,3,0,,,,,,,,,
Dry,2718,3.42,26.7,10,4,2,0,,,,,,,,,
Dry,3384,3.84,26.9,14,8,8,2,,,,,,,,,
Dry,2856,2.21,27,10,6,2,0,,,,,,,,,
Wet,2904,2.3,27,11,8,4,0,,,,,,,,,
Dry,2832,2.32,27,11,6,2,0,,,,,,,,,
Dry,2820,2.42,27,11,9,5,0,,,,,,,,,
Dry,3078,2.79,27,11,6,9,0,,,,,,,,,
Wet,2973,2.86,27,12,9,2,1,,,,,,,,,
Wet,2643,3.02,27,14,6,0,0,,,,,,,,,
Wet,3183,3.56,27,12,5,13,5,,,,,,,,,
Dry,2958,2.58,27.1,13,4,3,0,,,,,,,,,
Dry,2028,3.6,27.1,14,6,5,0,,,,,,,,,
Dry,2424,3.99,27.1,12,4,10,0,,,,,,,,,
Dry,2556,4.81,27.1,15,4,16,1,,,,,,,,,
Dry,2382,5.61,27.1,18,4,17,10,,,,,,,,,
Dry,2814,2.12,27.2,11,6,3,0,,,,,,,,,
Dry,2850,2.47,27.2,13,6,2,0,,,,,,,,,
Dry,2757,2.92,27.3,13,4,1,0,,,,,,,,,
Dry,2967,2.95,27.4,11,8,8,0,,,,,,,,,
Dry,2460,4.72,27.4,15,7,10,13,,,,,,,,,
Wet,2985,2.71,27.5,12,7,4,0,,,,,,,,,
Dry,3123,2.95,27.5,12,10,4,0,,,,,,,,,
Dry,2181,3.75,27.5,15,8,0,0,,,,,,,,,
Dry,2484,4.56,27.5,14,7,5,3,,,,,,,,,
Dry,2292,4.62,27.5,17,10,5,2,,,,,,,,,
Wet,3039,2.6,27.6,12,6,3,0,,,,,,,,,
Wet,3018,2.93,27.6,12,5,3,0,,,,,,,,,
Dry,3399,4.28,27.6,14,10,14,6,,,,,,,,,
Dry,2256,5.13,27.6,16,3,21,26,,,,,,,,,
Dry,3231,2.7,27.7,11,6,5,0,,,,,,,,,
Dry,3027,2.94,27.7,14,10,5,0,,,,,,,,,
Dry,2349,4.97,27.8,15,6,4,0,,,,,,,,,
Wet,3303,3.59,28,16,5,2,0,,,,,,,,,
Dry,2385,5.13,28,18,5,14,0,,,,,,,,,
Wet,2733,2.57,28.1,13,5,0,0,,,,,,,,,
Dry,2901,2.86,28.1,11,6,`12,0,,,,,,,,,
Dry,2415,3.55,28.2,17,9,15,11,,,,,,,,,
Dry,3318,3.59,28.2,15,6,2,0,,,,,,,,,
Wet,3027,2.88,28.3,13,10,14,0,,,,,,,,,
Wet,3330,4.33,28.3,14,6,8,0,,,,,,,,,
Dry,2988,2.54,28.4,13,6,2,0,,,,,,,,,
Wet,3072,2.58,28.4,11,6,1,0,,,,,,,,,
Dry,3063,2.83,28.4,11,9,3,0,,,,,,,,,
Dry,3225,3.07,28.5,10,5,1,0,,,,,,,,,
Dry,3258,4.01,28.5,13,10,10,3,,,,,,,,,
Dry,2004,4.44,28.5,17,14,17,5,,,,,,,,,
Dry,2601,3.93,28.6,14,6,10,5,,,,,,,,,
Wet,3066,2.8,28.7,13,6,2,0,,,,,,,,,
Dry,2805,2.87,28.7,14,11,5,0,,,,,,,,,
Dry,3405,3.08,28.7,13,6,2,0,,,,,,,,,
Dry,2259,5.4,28.7,16,6,20,17,,,,,,,,,
Wet,3126,2.53,28.8,13,9,3,1,,,,,,,,,
Dry,3408,2.52,28.9,12,6,4,0,,,,,,,,,
Dry,2235,3.01,28.9,13,3,0,0,,,,,,,,,
Dry,2121,3.07,28.9,13,5,0,0,,,,,,,,,
Dry,2448,4.82,28.9,16,7,17,14,,,,,,,,,
Dry,2826,2.2,29,12,8,9,0,,,,,,,,,
Dry,3141,2.7,29,11,7,9,0,,,,,,,,,
Dry,3120,3.03,29,12,8,3,0,,,,,,,,,
Wet,3204,3.29,29,13,6,3,0,,,,,,,,,
Dry,2127,3.03,29.1,14,7,0,0,,,,,,,,,
Dry,3390,3.25,29.2,12,6,1,0,,,,,,,,,
Wet,2136,4.02,29.2,16,10,3,1,,,,,,,,,
Dry,2673,2.58,29.3,14,7,4,0,,,,,,,,,
Wet,2865,2.76,29.3,10,5,0,0,,,,,,,,,
Dry,2097,4.52,29.3,14,8,12,16,,,,,,,,,
