"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"51",2217,"Dry",9,5,NA,"05-Nov","#VALUE!","29-Oct","#VALUE!","7.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1036,"W","D","WD"
"52",2217,"Wet",9,5,"07-Mar","05-Nov","121.6666667","29-Oct","129","7.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1036,"W","D","WD"
"53",2219,"Wet",5,3,"Nov-5","Aug-23","74","Aug-15","82","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1036,"W","W","WW"
"54",2219,"Dry",5,3,"Oct-27","Aug-23","65","Aug-15","73","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1036,"W","W","WW"
"55",2220,"Dry",22,4,"22-Jan","07-Nov","76","29-Oct","85","9","2","29","Sweetwater","S02",2014,"S0","South","Peak",1036,"W","W","WW"
"56",2220,"Wet",22,4,"26-Jan","07-Nov","80","29-Oct","89","9","2","29","Sweetwater","S02",2014,"S0","South","Peak",1036,"W","W","WW"
"57",2222,"Dry",1,2,"Nov-1","Aug-23","70","Aug-15","78","8.333333333","1","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","D","WD"
"58",2222,"Wet",1,2,"Nov-6","Aug-23","75","Aug-15","83","8.333333333","1","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","D","WD"
"59",2223,"Dry",5,9,"26-Jan","04-Nov","83","29-Oct","89","6.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","D","WD"
"60",2223,"Wet",5,9,"29-Jan","04-Nov","86","29-Oct","92","6.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","D","WD"
"61",2225,"Dry",15,18,"Oct-30","Aug-23","68","Aug-15","76","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","W","WW"
"62",2225,"Wet",15,18,"Oct-30","Aug-23","68","Aug-15","76","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","W","WW"
"63",2226,"Dry",6,12,"21-Jan","04-Nov","78","29-Oct","84","6.666666667","2","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","W","WW"
"64",2226,"Wet",6,12,"27-Jan","04-Nov","84","29-Oct","90","6.666666667","2","29","Sweetwater","S02",2014,"S0","South","Peak",1037,"W","W","WW"
"65",2228,"Wet",12,13,"Nov-4","Aug-24","72","Aug-15","81","9","1","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","D","WD"
"66",2228,"Dry",12,13,"Nov-1","Aug-24","69","Aug-15","78","9","1","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","D","WD"
"67",2229,"Dry",21,6,"05-Feb","04-Nov","93","29-Oct","99","6","2","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","D","WD"
"68",2229,"Wet",21,6,"04-Feb","04-Nov","92","29-Oct","98","6","2","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","D","WD"
"69",2231,"Wet",18,5,"Nov-5","Aug-23","74","Aug-15","82","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","W","WW"
"70",2231,"Dry",18,5,"Oct-27","Aug-23","65","Aug-15","73","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","W","WW"
"71",2232,"Wet",23,15,"06-Jan","06-Nov","61","29-Oct","69","8","2","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","W","WW"
