Generation,Timeline,Parental,ID,Placement,Tray,Treatment,Viable,Aborted,Percent_viable,,,,,,
S1,349,W,1206,18,7,wet,277,33,0.8935483871,,,,,,
S1,52,D,1106,1,8,wet,265,52,0.8359621451,,,,,,
S1,166,W,1156,2,8,wet,366,33,0.9172932331,,,,,,
S1,372,D,1221,3,8,wet,280,64,0.8139534884,,,,,,
S1,153,D,1137,4,8,wet,,,#DIV/0!,,,,,,
S1,4,W,1012,5,8,wet,131,287,0.3133971292,,,,,,
S1,32,D,1046,6,8,wet,239,72,0.768488746,,,,,,
S1,153,D,1135,7,8,wet,282,11,0.9624573379,,,,,,
S1,154,W,1140,8,8,wet,231,69,0.77,,,,,,
S1,153,W,1132,9,8,wet,295,61,0.8286516854,,,,,,
S1,152,D,1129,10,8,wet,306,9,0.9714285714,,,,,,
S1,57,W,1116,11,8,wet,290,10,0.9666666667,,,,,,
S1,154,D,1142,12,8,wet,331,38,0.8970189702,,,,,,
S1,52,W,1102,13,8,wet,282,38,0.88125,,,,,,
S1,39A,W,1067,14,8,wet,310,27,0.9198813056,,,,,,
S1,342,D,1184,15,8,wet,326,41,0.8882833787,,,,,,
S1,170,W,1170,16,8,wet,276,32,0.8961038961,,,,,,
S1,6,W,1018,17,8,wet,285,21,0.931372549,,,,,,
S1,167,D,1166,18,8,wet,297,16,0.9488817891,,,,,,
S1,4,D,1016,1,9,wet,225,125,0.6428571429,,,,,,
S1,28,W,1031,2,9,wet,303,20,0.9380804954,,,,,,
S1,1,W,1000,3,9,wet,123,186,0.3980582524,,,,,,
S1,39B,W,1072,4,9,wet,318,12,0.9636363636,,,,,,
S1,40,D,1081,5,9,wet,299,8,0.9739413681,,,,,,
S1,3,D,1009,6,9,wet,270,30,0.9,,,,,,
S1,343,W,1186,7,9,wet,337,9,0.9739884393,,,,,,
S1,373,W,1222,8,9,wet,221,81,0.7317880795,,,,,,
S1,343,D,1191,9,9,wet,,,#DIV/0!,,,,,,
S1,28,D,1033,10,9,wet,321,45,0.8770491803,,,,,,
S1,373,D,1226,11,9,wet,257,114,0.692722372,,,,,,
S1,28,D,1035,12,9,wet,277,50,0.8470948012,,,,,,
S1,164,D,1153,13,9,wet,284,16,0.9466666667,,,,,,
S1,344,D,1195,14,9,wet,281,21,0.9304635762,,,,,,
S1,342,D,1185,15,9,wet,269,60,0.8176291793,,,,,,
S1,41,W,1084,16,9,wet,305,7,0.9775641026,,,,,,
S1,35,D,1051,17,9,wet,320,21,0.9384164223,,,,,,
S1,342,W,1182,18,9,wet,,,#DIV/0!,,,,,,
S1,166,D,1160,1,10,wet,286,14,0.9533333333,325,80,,,,
S1,344,D,1197,2,10,wet,293,7,0.9766666667,287,37,,,,
S1,374,D,1232,3,10,wet,257,43,0.8566666667,,,,,,
S1,342,W,1181,4,10,wet,,,#DIV/0!,,,,,,
S1,3,D,1011,5,10,wet,307,11,0.965408805,,,,,,
S1,4,W,1013,6,10,wet,87,256,0.2536443149,,,,,,
S1,344,W,1193,7,10,wet,294,17,0.9453376206,,,,,,
S1,342,D,1183,8,10,wet,280,14,0.9523809524,,,,,,
S1,371,D,1215,9,10,wet,246,58,0.8092105263,,,,,,
S1,1,D,1004,10,10,wet,311,25,0.9255952381,,,,,,
S1,38,D,1064,11,10,wet,299,2,0.9933554817,,,,,,
S1,148,W,1122,12,10,wet,300,16,0.9493670886,,,,,,
S1,372,W,1217,13,10,wet,247,90,0.7329376855,,,,,,
S1,373,D,1227,14,10,wet,205,98,0.6765676568,,,,,,
S1,32,D,1047,15,10,wet,239,89,0.7286585366,,,,,,
S1,155,D,1149,16,10,wet,251,51,0.8311258278,,,,,,
S1,40,W,1079,17,10,wet,326,3,0.990881459,,,,,,
S1,51,W,1097,18,10,wet,386,15,0.9625935162,,,,,,
S1,3,W,1008,1,11,wet,290,14,0.9539473684,,,,,,
S1,349,W,1204,2,11,wet,298,54,0.8465909091,,,,,,
S1,164,D,1155,3,11,wet,286,15,0.950166113,,,,,,
S1,29,D,1040,4,11,wet,296,6,0.9801324503,,,,,,
S1,57,D,1118,5,11,wet,295,13,0.9577922078,,,,,,
S1,371,W,1212,6,11,wet,306,18,0.9444444444,,,,,,
S1,38,W,1060,7,11,wet,,,#DIV/0!,,,,,,
S1,39B,W,1073,8,11,wet,298,4,0.9867549669,,,,,,
S1,349,W,1205,9,11,wet,265,43,0.8603896104,,,,,,
S1,375,W,1236,10,11,wet,380,23,0.9429280397,,,,,,
S1,372,W,1216,11,11,wet,264,67,0.7975830816,,,,,,
