Treatment,ID,Tray,Placement,Flowering_date,avg_germ,FT,Sow_date,FD,days_to_germ
Dry,2159,9,10,Oct-28,Aug-22,67,Aug-15,74,7.333333333
Dry,2162,22,17,Oct-29,Aug-22,68,Aug-15,75,7.666666667
Dry,2165,13,8,Oct-25,Aug-22,64,Aug-15,71,7
Dry,2168,10,2,Oct-29,Aug-22,68,Aug-15,75,7.333333333
Dry,2171,4,9,Oct-25,Aug-22,64,Aug-15,71,7
Dry,2174,25,10,Oct-26,Aug-22,65,Aug-15,72,7.333333333
Dry,2177,2,15,Oct-27,Aug-22,66,Aug-15,73,7.333333333
Dry,2180,15,16,Oct-31,Aug-23,69,Aug-15,77,8
Dry,2183,3,2,Oct-23,Aug-23,61,Aug-15,69,8
Dry,2186,1,11,Oct-30,Aug-23,68,Aug-15,76,8
Dry,2189,7,11,Oct-28,Aug-23,66,Aug-15,74,8
Dry,2192,20,3,Oct-27,Aug-23,65,Aug-15,73,8.333333333
Dry,2195,6,18,,#DIV/0!,#DIV/0!,Aug-15,May-15,#DIV/0!
Dry,2198,10,9,Oct-29,Aug-22,68,Aug-15,75,7
Dry,2201,23,4,Oct-31,Aug-22,70,Aug-15,77,7.666666667
Dry,2204,10,18,Oct-25,Aug-22,64,Aug-15,71,7.666666667
Dry,2207,16,2,Nov-8,Aug-23,77,Aug-15,85,8.333333333
Dry,2210,1,8,Oct-27,Aug-23,65,Aug-15,73,8
Dry,2213,3,13,,#DIV/0!,#DIV/0!,Aug-15,May-15,#DIV/0!
Dry,2216,12,17,Nov-4,Aug-23,73,Aug-15,81,8
Dry,2219,5,3,Oct-27,Aug-23,65,Aug-15,73,8
Dry,2222,1,2,Nov-1,Aug-23,70,Aug-15,78,8.333333333
Dry,2225,15,18,Oct-30,Aug-23,68,Aug-15,76,8
Dry,2228,12,13,Nov-1,Aug-24,69,Aug-15,78,9
Dry,2231,18,5,Oct-27,Aug-23,65,Aug-15,73,8
Dry,2234,4,2,Oct-31,Aug-23,69,Aug-15,77,8
Dry,2237,5,9,Nov-3,Aug-23,72,Aug-15,80,8.333333333
Dry,2240,12,7,,#DIV/0!,#DIV/0!,Aug-15,May-15,#DIV/0!
Dry,2243,15,12,Oct-28,Aug-24,65,Aug-15,74,9.333333333
Dry,2246,10,5,Oct-27,Aug-23,65,Aug-15,73,8
