Treatment,ID,ww,sa,dw,wc,sla,,,,
Dry,2672,0.15,6.093,0.036,0.114,169.25,,,,
Wet,2672,0.25,10.153,0.052,0.198,195.25,,,,
Dry,2675,0.13,4.63,0.025,0.105,185.2,,,,
Wet,2675,0.24,10.048,0.055,0.185,182.6909091,,,,
Dry,2678,,,,0,#DIV/0!,,,,
Wet,2678,0.26,9.493,0.055,0.205,172.6,,,,
Dry,2681,,,,0,#DIV/0!,,,,
Wet,2681,,,,0,#DIV/0!,,,,
Dry,2684,,,,0,#DIV/0!,,,,
Wet,2684,,,,0,#DIV/0!,,,,
Dry,2687,,,,0,#DIV/0!,,,,
Wet,2687,,,,0,#DIV/0!,,,,
Dry,2690,0.1,3.827,0.02,0.08,191.35,,,,
Wet,2690,,,,0,#DIV/0!,,,,
Dry,2693,,,,0,#DIV/0!,,,,
Wet,2693,,,,0,#DIV/0!,,,,
Dry,2696,0.11,3.67,0.019,0.091,193.1578947,,,,
Wet,2696,0.21,8.769,0.072,0.138,121.7916667,,,,
Dry,2699,0.08,2.911,0.024,0.056,121.2916667,,,,
Wet,2699,0.17,6.49,0.033,0.137,196.6666667,0.26,10.073,0.04,<<-- Incorrectly put in
Dry,2702,0.07,2.616,0.018,0.052,145.3333333,,,,
Wet,2702,0.21,9.523,0.04,0.17,238.075,,,,
Dry,2705,0.11,3.691,0.024,0.086,153.7916667,,,,
Wet,2705,0.21,7.735,0.03,0.18,257.8333333,,,,
Dry,2708,0.07,2.404,0.017,0.053,141.4117647,,,,
Wet,2708,0.32,11.955,0.07,0.25,170.7857143,,,,
Dry,2711,,,,0,#DIV/0!,,,,
Wet,2711,,,,0,#DIV/0!,,,,
Dry,2714,0.28,10.016,0.08,0.2,125.2,,,,
Wet,2714,0.33,11.335,0.07,0.26,161.9285714,,,,
Dry,2717,0.11,4.058,0.2,-0.09,20.29,,,,
Wet,2717,0.16,6.221,0.038,0.122,163.7105263,,,,
Dry,2720,0.07,2.723,0.009,0.061,302.5555556,,,,
Wet,2720,0.19,9.54,0.038,0.152,251.0526316,,,,
Dry,2723,0.17,7.304,0.025,0.145,292.16,,,,
Wet,2723,0.16,7.682,0.031,0.129,247.8064516,,,,
Dry,2726,0.12,5.466,0.023,0.097,237.6521739,,,,
Wet,2726,0.22,9.21,0.045,0.175,204.6666667,,,,
Dry,2729,0.05,2.313,0.012,0.038,192.75,,,,
Wet,2729,,,,0,#DIV/0!,,,,
Dry,2732,0.24,7.92,0.036,0.204,220,,,,
Wet,2732,0.17,6.654,0.028,0.142,237.6428571,,,,
Dry,2735,0.15,6.238,0.029,0.121,215.1034483,,,,
Wet,2735,0.16,7.059,0.024,0.136,294.125,,,,
Dry,2738,0.29,12.365,0.049,0.241,252.3469388,,,,
Wet,2738,0.24,12.568,0.038,0.202,330.7368421,,,,
Dry,2741,0.22,8.868,0.034,0.186,260.8235294,,,,
Wet,2741,0.36,12.936,0.065,0.295,199.0153846,,,,
Dry,2744,0.18,7.781,0.034,0.146,228.8529412,,,,
Wet,2744,0.15,7.1,0.028,0.122,253.5714286,,,,
Dry,2747,0.18,7.461,0.033,0.147,226.0909091,,,,
Wet,2747,0.16,6.677,0.02,0.14,333.85,,,,
Dry,2750,0.08,3.552,0.028,0.052,126.8571429,,,,
Wet,2750,,,,0,#DIV/0!,,,,
Dry,2753,0.07,2.978,0.016,0.054,186.125,,,,
Wet,2753,0.17,7.071,0.031,0.139,228.0967742,,,,
Dry,2756,0.07,3.987,0.017,0.053,234.5294118,,,,
Wet,2756,,,,0,#DIV/0!,,,,
Dry,2759,0.05,2.14,0.008,0.042,267.5,,,,
Wet,2759,,,,0,#DIV/0!,,,,
Dry,2762,0.12,6.468,0.041,0.079,157.7560976,,,,
Wet,2762,0.23,10.25,0.046,0.184,222.826087,,,,
Dry,2765,0.08,3.851,0.023,0.057,167.4347826,,,,
Wet,2765,0.16,7.937,0.02,0.14,396.85,,,,
Dry,2768,0.13,6.567,0.025,0.105,262.68,,,,
Wet,2768,0.13,6.457,0.02,0.11,322.85,,,,
Dry,2771,0.12,4.41,0.024,0.096,183.75,,,,
Wet,2771,0.17,8.566,0.02,0.15,428.3,,,,
Dry,2774,0.13,4.89,0.028,0.102,174.6428571,,,,
Wet,2774,,,,0,#DIV/0!,,,,
Dry,2777,0.07,3.42,0.022,0.048,155.4545455,,,,
Wet,2777,0.14,6.008,0.02,0.12,300.4,,,,
Dry,2780,0.11,5.195,0.039,0.071,133.2051282,,,,
Wet,2780,0.32,14.794,0.065,0.255,227.6,,,,
Dry,2783,0.13,5.797,0.033,0.097,175.6666667,,,,
Wet,2783,0.12,5.941,0.02,0.1,297.05,,,,
Dry,2786,0.14,6.344,0.032,0.108,198.25,,,,
Wet,2786,0.15,6.67,0.027,0.123,247.037037,,,,
Dry,2789,0.2,9.16,0.052,0.148,176.1538462,,,,
Wet,2789,0.17,8.343,0.034,0.136,245.3823529,,,,
Dry,2792,0.1,4.457,0.019,0.081,234.5789474,,,,
Wet,2792,0.22,10.058,0.035,0.185,287.3714286,,,,
Dry,2795,0.12,5.147,0.023,0.097,223.7826087,,,,
Wet,2795,0.18,8.323,0.035,0.145,237.8,,,,
Dry,2798,0.15,6.312,0.029,0.121,217.6551724,,,,
Wet,2798,0.21,8.706,0.03,0.18,290.2,,,,
Dry,2801,0.253,9.548,0.044,0.209,217,,,,
Wet,2801,0.12,5.19,0.019,0.101,273.1578947,,,,
Dry,2804,0.11,4.082,0.026,0.084,157,,,,
Wet,2804,0.13,5.204,0.02,0.11,260.2,,,,
Dry,2807,0.13,5.493,0.031,0.099,177.1935484,,,,
Wet,2807,0.12,5.338,0.023,0.097,232.0869565,,,,
Dry,2810,0.11,5.383,0.028,0.082,192.25,,,,
Wet,2810,0.05,,,0.05,#DIV/0!,,,,
Dry,2813,0.25,9.662,0.042,0.208,230.047619,,,,
Wet,2813,0.08,4.006,0.022,0.058,182.0909091,,,,
Dry,2816,0.12,4.784,0.025,0.095,191.36,,,,
Wet,2816,0.27,11.539,0.038,0.232,303.6578947,,,,
Dry,2819,0.23,8.352,0.033,0.197,253.0909091,,,,
Wet,2819,0.12,5.439,0.026,0.094,209.1923077,,,,
Dry,2822,0.07,2.892,0.008,0.062,361.5,,,,
Wet,2822,0.12,5.238,0.026,0.094,201.4615385,,,,
Dry,2825,0.08,4.058,0.022,0.058,184.4545455,,,,
Wet,2825,0.23,9.787,0.044,0.186,222.4318182,,,,
Dry,2828,,,,0,#DIV/0!,,,,
Wet,2828,,,,0,#DIV/0!,,,,
Dry,2831,0.09,4.116,0.027,0.063,152.4444444,,,,
Wet,2831,0.11,5.12,0.023,0.087,222.6086957,,,,
Dry,2834,0.17,7.041,0.04,0.13,176.025,,,,
Wet,2834,0.23,10.34,0.04,0.19,258.5,,,,
Dry,2837,0.04,1.933,0.013,0.027,148.6923077,,,,
Wet,2837,0.17,7.707,,0.17,#DIV/0!,,,,
Dry,2840,,,,0,#DIV/0!,,,,
Wet,2840,,,,0,#DIV/0!,,,,
Dry,2843,0.1,4.294,0.021,0.079,204.4761905,,,,
Wet,2843,0.09,3.911,0.013,0.077,300.8461538,,,,
Dry,2846,,,,0,#DIV/0!,,,,
Wet,2846,,,,0,#DIV/0!,,,,
Dry,2849,0.16,7.074,0.041,0.119,172.5365854,,,,
Wet,2849,0.17,8.037,0.056,0.114,143.5178571,,,,
Dry,2852,0.1,4.211,0.025,0.075,168.44,,,,
Wet,2852,0.26,12.493,0.064,0.196,195.203125,,,,
Dry,2855,0.11,4.468,0.029,0.081,154.0689655,,,,
Wet,2855,0.16,6.446,0.031,0.129,207.9354839,,,,
Dry,2858,,,,0,#DIV/0!,,,,
Wet,2858,,,,0,#DIV/0!,,,,
Dry,2861,,,,0,#DIV/0!,,,,
Wet,2861,,,,0,#DIV/0!,,,,
Dry,2864,0.08,4.403,0.023,0.057,191.4347826,,,,
Wet,2864,0.25,11.435,0.062,0.188,184.4354839,,,,
Dry,2867,0.12,5.874,0.027,0.093,217.5555556,,,,
Wet,2867,0.22,8.176,0.049,0.171,166.8571429,,,,
Dry,2870,0.1,4.638,0.028,0.072,165.6428571,,,,
Wet,2870,0.24,12.794,0.06,0.18,213.2333333,,,,
Dry,2873,0.1,4.513,0.023,0.077,196.2173913,,,,
Wet,2873,0.3,13.966,0.078,0.222,179.0512821,,,,
Dry,2876,0.1,4.387,0.022,0.078,199.4090909,,,,
Wet,2876,0.23,9.897,0.061,0.169,162.2459016,,,,
Dry,2879,0.08,4.185,0.027,0.053,155,,,,
Wet,2879,0.18,8.223,0.056,0.124,146.8392857,,,,
Dry,2882,0.11,5.063,0.029,0.081,174.5862069,,,,
Wet,2882,0.22,9.384,0.044,0.176,213.2727273,,,,
Dry,2885,0.09,4.329,0.006,0.084,721.5,,,,
Wet,2885,0.16,6.316,0.02,0.14,315.8,,,,
Dry,2888,0.1,3.665,0.015,0.085,244.3333333,,,,
Wet,2888,0.11,5.551,0.021,0.089,264.3333333,,,,
Dry,2891,0.13,5.841,0.022,0.108,265.5,,,,
Wet,2891,0.17,7.533,0.02,0.15,376.65,,,,
Dry,2894,0.09,4.668,0.027,0.063,172.8888889,,,,
Wet,2894,0.14,6.29,0.03,0.11,209.6666667,,,,
Dry,2897,,,,0,#DIV/0!,,,,
Wet,2897,0.26,11.961,0.048,0.212,249.1875,,,,
Dry,2900,0.22,8.935,0.041,0.179,217.9268293,,,,
Wet,2900,0.2,9.598,0.038,0.162,252.5789474,,,,
