"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"90",2066,"Wet",5,18,"Nov-12","Aug-26","78","Aug-15","89","11.33333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","D","DD"
"91",2067,"Wet",21,15,NA,"08-Nov","#VALUE!","29-Oct","#VALUE!","10.33333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","D","DD"
"92",2067,"Dry",21,15,"02-Feb","08-Nov","86","29-Oct","96","10.33333333","2","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","D","DD"
"93",2069,"Wet",17,11,"Oct-29","Aug-25","65","Aug-15","75","10.33333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","W","DW"
"94",2069,"Dry",17,11,"Oct-29","Aug-25","65","Aug-15","75","10.33333333","1","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","W","DW"
"95",2070,"Wet",3,7,"08-Jan","07-Nov","62","29-Oct","71","9.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","W","DW"
"96",2070,"Dry",3,7,"16-Jan","07-Nov","70","29-Oct","79","9.666666667","2","3","Sweetwater","S02",2010,"S0","South","Pre",1011,"D","W","DW"
"97",2072,"Wet",9,7,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","D","WD"
"98",2072,"Dry",9,7,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","D","WD"
"99",2073,"Dry",26,4,NA,"#DIV/0!","#DIV/0!","29-Oct","#VALUE!","#DIV/0!","2","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","D","WD"
"100",2073,"Wet",26,4,NA,"#DIV/0!","#DIV/0!","29-Oct","#VALUE!","#DIV/0!","2","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","D","WD"
"101",2075,"Wet",11,17,"Oct-31","Aug-24","68","Aug-15","77","9.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","W","WW"
"102",2075,"Dry",11,17,"Oct-25","Aug-24","62","Aug-15","71","9.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","W","WW"
